"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros"
"*042wi*","Wouter Peeters","CHI","G","6162","FA","27","","0","0","0%"
"*003ic*","Matt Pelech","(N/A)","RW,D","6166","FA","37","","0","0","0%"
"*004tu*","Jean-Marc Pelletier","(N/A)","G","6168","FA","0","","0","0","0%"
"*003g4*","Pascal Pelletier","(N/A)","LW","6170","FA","42","","0","0","0%"
"*04kyf*","William Pelletier","MTL","LW","6171","FA","32","MTL 2<br/>@NSH 1 F","0","0","0%"
"*06pdt*","Zach Pelletier","NJD","G","6172","FA","19","","0","0","0%"
"*003yd*","Rod Pelley","(N/A)","C","6173","FA","40","","0","0","0%"
"*005jd*","Derek Peltier","PIT","D","6175","FA","40","PIT 1<br/>@CHI 3 F","0","0","0%"
"*05rg4*","Ty Pelton-Byce","(N/A)","LW","6176","FA","28","","0","0","0%"
"*01c73*","Anthony Peluso","EDM","RW","6178","FA","36","","0","0","0%"
"*03knh*","Joe Pendenza","NSH","C","6179","FA","34","MTL 2<br/>@NSH 1 F","0","0","0%"
"*003ls*","Andrew Penner","COL","G","6180","FA","42","","0","0","0%"
"*003ql*","Dustin Penner","(N/A)","LW","6181","FA","42","","0","0","0%"
"*0056y*","Jeff Penner","(N/A)","D","6182","FA","38","","0","0","0%"
"*03sr4*","Ryan Penny","OTT","LW","6183","FA","30","CBJ 0<br/>@OTT 4 F","0","0","0%"
"*061ks*","Maks Percic","(N/A)","D","6187","FA","21","","0","0","0%"
"*02b3j*","Stuart Percy","(N/A)","D","6188","FA","32","","0","0","0%"
"*05xcc*","Reid Perepeluk","CGY","RW","6189","FA","25","","0","0","0%"
"*03knu*","Lucas Peressini","(N/A)","G","6190","FA","30","","0","0","0%"
"*024iz*","Alexander Perezhogin","(N/A)","RW","6192","FA","41","","0","0","0%"
"*04l7p*","Stephen Perfetto","(N/A)","C","6193","FA","34","","0","0","0%"
"*02bhw*","Samu Perhonen","EDM","G","6194","FA","32","","0","0","0%"
"*0244x*","Nathan Perkovich","NJD","RW","6196","FA","39","","0","0","0%"
"*01zvh*","Brett Perlini","ANA","RW","6198","FA","35","","0","0","0%"
"*03eeb*","Francis Perron","(N/A)","LW","6201","FA","29","","0","0","0%"
"*05xyp*","Andrew Perrott","CHI","D","6203","FA","23","PIT 1<br/>@CHI 3 F","0","0","0%"
"*03ecu*","Chase Perry","DET","G","6204","FA","29","","0","0","0%"
"*04ov5*","Carl Persson","(N/A)","C","6205","FA","30","","0","0","0%"
"*005j9*","Dennis Persson","(N/A)","D","6206","FA","37","","0","0","0%"
"*04yn1*","Henrik Persson","(N/A)","LW","6207","FA","32","","0","0","0%"
"*04meq*","Joel Persson","(N/A)","D","6208","FA","31","","0","0","0%"
"*02fnp*","John Persson","(N/A)","LW","6209","FA","33","","0","0","0%"
"*05r9m*","Ludvig Persson","(N/A)","G","6210","FA","25","","0","0","0%"
"*05x7a*","Andrew Peski","BOS","D","6214","FA","28","BOS 3<br/>@BUF 6 F","0","0","0%"
"*02muu*","Harri Pesonen","(N/A)","C","6215","FA","36","","0","0","0%"
"*00qmy*","Janne Pesonen","(N/A)","LW","6216","FA","43","","0","0","0%"
"*03yei*","Inti Pestoni","(N/A)","RW","6217","FA","33","","0","0","0%"
